variable,value,label,wording
sex,1,Male,Man
sex,2,Female,Vrouw
education,1,Low,Praktisch-opgeleid
education,2,Medium,Middel-opgeleid
education,3,High,Theoretisch-opgeleid
ethnicity,1,Dutch,Nederlandse achtergrond
ethnicity,2,Western Migrant,Westerste migratieachtergrond
ethnicity,3,Non-Western Migrant,Niet-Westerse migratie-achtergrond
region,1,"Three big cities (Amsterdam, Rotterdam, The Hague)","Een van de 3 grote steden of randgemeenten: Amsterdam (plus Diemen, Ouder-Amstel, Landsmeer, Amstelveen); Rotterdam (plus Schiedam, Capelle aan den IJssel, Krimpen aan den IJssel, Nederlek, Ridderkerk, Barendrecht, Albrandswaard; Den Haag (plus Leidschendam, Voorburg, Rijswijk, Wassenaar, Wateringen)"
region,2,West of the country,"Het westen:  Noord-Holland, Zuid-Holland en Utrecht (exclusief een van de 3 grote steden)"
region,3,North  of the country,"Het noorden: Groningen, Friesland en Drenthe"
region,4,East  of the country,"Het oosten: Overijssel, Gelderland en Flevoland"
region,5,South  of the country,"Het zuiden: Zeeland, Noord-Brabant en Limburg"
urbanisation,1,Very strongly urbanised,Zeer sterk (>=2500 omgevingsadressen/km2)
urbanisation,2,Strongly urbanised,Sterk (1500 tot 2500 omgevingsadressen/km2)
urbanisation,3,Medium urbanised,Matig (1000 tot 1500 omgevingsadressen/km2)
urbanisation,4,Lowly urbanised,Weinig (500 tot 1000 omgevingsadressen/km2)
urbanisation,5,Not urbanised,Niet (<500 omgevingsadressen/km2)
A1,1,Yes,"Ja, ik ga zeker stemmen"
A1,2,No,"Nee, ik ga zeker niet stemmen"
A1,3,Don't know,Ik weet nog niet of ik ga stemmen of niet
A1,4,Not eligble,Ik mag (nog) niet stemmen
A2a,1,VVD,VVD
A2a,2,D66,D66
A2a,3,PVV,PVV
A2a,4,CDA,CDA
A2a,5,SP,SP
A2a,6,PvdA,PvdA
A2a,7,GL,GL
A2a,8,FvD,FvD
A2a,9,PvdD,PvdD
A2a,10,CU,CU
A2a,11,JA21,JA21
A2a,12,SGP,SGP
A2a,13,Volt,Volt
A2a,14,Denk,Denk
A2a,15,50Plus,50Plus
A2a,16,BBB,BBB
A2a,66,Andere partij,Andere partij
A2a,77,Blanco,Blanco
A2a,88,Not eligible,Mag niet stemmenn
A2a,97,Don't know,Weet ik nog niet
A2a,98,Won't vote,Ik zou niet stemmen
A2a,101,Algemene Waterschapspartij,Algemene Waterschapspartij
A2a,102,Alliantie,Alliantie
A2a,103,BVNL,BVNL
A2a,104,CU-SGP,CU-SGP
A2a,105,Code Oranje,Code Oranje
A2a,106,FNP,FNP
A2a,107,GO (Groningen),GO (Groningen)
A2a,108,Goud (ZH),Goud (ZH)
A2a,109,Groningen Belang,Groningen Belang
A2a,110,Jezus Leeft,Jezus Leeft
A2a,111,Lokaal Brabant,Lokaal Brabant
A2a,112,Lokaal Limburg,Lokaal Limburg
A2a,113,Sterk Lokaal Gelderland,Sterk Lokaal Gelderland
A2a,114,Namens Noord-Hollanders,Namens Noord-Hollanders
A2a,115,Natuurljk Fryslân,Natuurljk Fryslân
A2a,116,NL met een plan (NH),NL met een plan (NH)
A2a,118,Onafhankelijke Politiek Noord-Holland,Onafhankelijke Politiek Noord-Holland
A2a,119,Ons Groningen,Ons Groningen
A2a,120,Partij voor het Noorden,Partij voor het Noorden
A2a,121,Partij voor Zeeland,Partij voor Zeeland
A2a,122,Piratenpartij,Piratenpartij
A2a,123,Provinciale Belang Fryslân,Provinciale Belang Fryslân
A2a,124,PvdA-GL,PvdA-GL
